locus	pop1	metric	value
MrChr1G08090	BQ	pi	0
MrChr1G09790	BQ	pi	0.000464905
MrChr1G09790	BQ	TajD	0.201354
MrChr1G19180	BQ	pi	0
MrChr1G19430	BQ	pi	0.00069563
MrChr1G19430	BQ	TajD	1.58117
MrChr1G19590	BQ	pi	0
MrChr1G20460	BQ	pi	0
MrChr1G20790	BQ	pi	0
MrChr1G27490	BQ	pi	0.0033953
MrChr1G27490	BQ	TajD	-0.641124
MrChr1G28720	BQ	pi	0
MrChr1G33600	BQ	pi	0
MrChr1G33730	BQ	pi	0
MrChr1G34120	BQ	pi	0
MrChr1G34300	BQ	pi	0
MrChr1G35950	BQ	pi	0
MrChr1G36180	BQ	pi	0.000131156
MrChr1G36180	BQ	TajD	2.3214
MrChr2G03630	BQ	pi	0
MrChr2G08000	BQ	pi	0.00442592
MrChr2G08000	BQ	TajD	1.14147
MrChr2G12770	BQ	pi	0
MrChr2G13390	BQ	pi	0.00653435
MrChr2G13390	BQ	TajD	-1.2106
MrChr2G14990	BQ	pi	0.000262977
MrChr2G14990	BQ	TajD	1.47142
MrChr2G15090	BQ	pi	0
MrChr2G15340	BQ	pi	0.000308341
MrChr2G15340	BQ	TajD	0.535433
MrChr2G15950	BQ	pi	0.000877805
MrChr2G15950	BQ	TajD	1.91752
MrChr2G16650	BQ	pi	0.0486498
MrChr2G16650	BQ	TajD	0.809185
MrChr2G16760	BQ	pi	0.000242923
MrChr2G16760	BQ	TajD	1.47142
MrChr2G20310	BQ	pi	0.0011008
MrChr2G20310	BQ	TajD	-1.38775
MrChr2G20730	BQ	pi	0.000162974
MrChr2G20730	BQ	TajD	-0.835495
MrChr2G29740	BQ	pi	0.00107096
MrChr2G29740	BQ	TajD	0.861612
MrChr2G31550	BQ	pi	0.000653962
MrChr2G31550	BQ	TajD	1.91752
MrChr3G02350	BQ	pi	0.000443432
MrChr3G02350	BQ	TajD	-1.1428
MrChr3G07530	BQ	pi	0.0014234
MrChr3G07530	BQ	TajD	2.55406
MrChr3G08640	BQ	pi	0
MrChr3G10850	BQ	pi	0
MrChr3G11290	BQ	pi	0
MrChr3G18920	BQ	pi	0
MrChr3G22710	BQ	pi	0.0018899
MrChr3G22710	BQ	TajD	1.47142
MrChr3G22870	BQ	pi	8.19E-05
MrChr3G22870	BQ	TajD	-0.641124
MrChr3G25500	BQ	pi	0
MrChr3G27610	BQ	pi	0.00027197
MrChr3G27610	BQ	TajD	-0.637461
MrChr3G36880	BQ	pi	0.000558723
MrChr3G36880	BQ	TajD	-1.35981
MrChr3G37340	BQ	pi	9.17E-05
MrChr3G37340	BQ	TajD	-0.641124
MrChr4G00150	BQ	pi	0
MrChr4G03240	BQ	pi	0.00100283
MrChr4G03240	BQ	TajD	2.13393
MrChr4G08090	BQ	pi	0
MrChr4G20510	BQ	pi	0
MrChr4G20610	BQ	pi	9.74E-05
MrChr4G20610	BQ	TajD	1.58117
MrChr4G25840	BQ	pi	0.000373231
MrChr4G25840	BQ	TajD	0.541012
MrChr4G28210	BQ	pi	9.25E-05
MrChr4G28210	BQ	TajD	-0.641124
MrChr4G28780	BQ	pi	0.000238985
MrChr4G28780	BQ	TajD	1.65664
MrChr5G04970	BQ	pi	5.16E-05
MrChr5G04970	BQ	TajD	-0.641124
MrChr5G05570	BQ	pi	0.000594996
MrChr5G05570	BQ	TajD	1.61233
MrChr5G05950	BQ	pi	0.000701281
MrChr5G05950	BQ	TajD	1.97115
MrChr5G06900	BQ	pi	0
MrChr5G19380	BQ	pi	0.000458376
MrChr5G19380	BQ	TajD	2.55406
MrChr5G19920	BQ	pi	0
MrChr5G21980	BQ	pi	0.000180375
MrChr5G21980	BQ	TajD	-0.182508
MrChr5G23620	BQ	pi	0
MrChr5G23830	BQ	pi	0
MrChr5G24630	BQ	pi	0.000493229
MrChr5G24630	BQ	TajD	1.58117
MrChr5G26500	BQ	pi	0.00403016
MrChr5G26500	BQ	TajD	2.42111
MrChr5G27270	BQ	pi	0
MrChr5G29390	BQ	pi	0.00079111
MrChr5G29390	BQ	TajD	0.544119
MrChr6G09280	BQ	pi	0.00145513
MrChr6G09280	BQ	TajD	-1.03561
MrChr6G10970	BQ	pi	0.00591224
MrChr6G10970	BQ	TajD	-1.33282
MrChr6G11230	BQ	pi	0
MrChr6G13110	BQ	pi	0.00411783
MrChr6G13110	BQ	TajD	2.18913
MrChr6G16420	BQ	pi	0
MrChr6G18270	BQ	pi	0
MrChr6G19620	BQ	pi	0.00219213
MrChr6G19620	BQ	TajD	1.98902
MrChr6G24110	BQ	pi	0.000397924
MrChr6G24110	BQ	TajD	0.541012
MrChr6G28890	BQ	pi	0.000362787
MrChr6G28890	BQ	TajD	1.25032
MrChr6G29130	BQ	pi	0.000524049
MrChr6G29130	BQ	TajD	1.91752
MrChr6G30090	BQ	pi	0.000413099
MrChr6G30090	BQ	TajD	1.58117
MrChr6G30300	BQ	pi	0
